date,r2_level_pct,r2_level_ML,r1_level_pct,r1_level_ML,pump_river_to_r1_ML_day,pump_r1_to_r2_ML_day,pump_r2_to_site_ML_day,demand_supplied_ML_day,r1_storage_change_ML,r2_storage_change_ML,is_original_measurement,has_r1_level,has_r2_level,has_river_pump,has_r1_r2_pump,has_r2_site_pump
2017-01-11,80.79020144682562,1114.9047799661935,,,,,,,,,True,False,True,False,False,False
2017-01-18,80.55863634782584,1111.7091815999966,,,,,,,,-3.1955983661969185,True,False,True,False,False,False
2017-01-25,79.4073195597821,1095.821009924993,,,,,,,,-15.888171675003605,True,False,True,False,False,False
2017-02-01,77.81362888626052,1073.828078630395,,,,,,,,-21.992931294597838,True,False,True,False,False,False
2017-02-08,76.01804347826089,1049.0490000000002,,,,,,,,-24.779078630394906,True,False,True,False,False,False
2017-02-15,73.81192991304296,1018.6046327999929,,,,,,,,-30.444367200007264,True,False,True,False,False,False
2017-02-22,74.41598346548054,1026.9405718236317,,,,,,,,8.33593902363873,False,False,True,False,False,False
2017-03-01,75.02003701791813,1035.2765108472702,,,,,,,,8.335939023638502,True,False,True,False,False,False
2017-03-08,74.37788088488064,1026.4147562113528,,,,,,,,-8.86175463591735,False,False,True,False,False,False
2017-03-15,73.73572475184315,1017.5530015754355,,,,,,,,-8.86175463591735,False,False,True,False,False,False
2017-03-22,73.09356861880566,1008.6912469395182,,,,,,,,-8.861754635917237,False,False,True,False,False,False
2017-03-29,72.45141248576817,999.8294923036009,,,,,,,,-8.86175463591735,False,False,True,False,False,False
2017-04-05,,,,,,,,,,,False,False,False,False,False,False
2017-04-12,,,,,,,,,,,False,False,False,False,False,False
2017-04-19,,,,,,,,,,,False,False,False,False,False,False
2017-04-26,,,,,,,,,,,False,False,False,False,False,False
2017-05-03,,,,,,,,,,,False,False,False,False,False,False
2017-05-10,,,,,,,,,,,False,False,False,False,False,False
2017-05-17,,,,,,,,,,,False,False,False,False,False,False
2017-05-24,,,,,,,,,,,False,False,False,False,False,False
2017-05-31,,,,,,,,,,,False,False,False,False,False,False
2017-06-07,,,,,,,,,,,False,False,False,False,False,False
2017-06-14,,,,,,,,,,,False,False,False,False,False,False
2017-06-21,,,,,,,,,,,False,False,False,False,False,False
2017-06-28,,,,,,,,,,,False,False,False,False,False,False
2017-07-05,,,,,,,,,,,False,False,False,False,False,False
2017-07-12,,,,,,,,,,,False,False,False,False,False,False
2017-07-19,,,,,,,,,,,False,False,False,False,False,False
2017-07-26,,,,,,,,,,,False,False,False,False,False,False
2017-08-02,,,,,,,,,,,False,False,False,False,False,False
2017-08-09,,,,,,,,,,,False,False,False,False,False,False
2017-08-16,,,,,,,,,,,False,False,False,False,False,False
2017-08-23,,,,,,,,,,,False,False,False,False,False,False
2017-08-30,,,,,,,,,,,False,False,False,False,False,False
2017-09-06,,,,,,,,,,,False,False,False,False,False,False
2017-09-13,,,,,,,,,,,False,False,False,False,False,False
2017-09-20,,,,,,,,,,,False,False,False,False,False,False
2017-09-27,,,,,,,,,,,False,False,False,False,False,False
2017-10-04,,,,,,,,,,,False,False,False,False,False,False
2017-10-11,,,,,,,,,,,False,False,False,False,False,False
2017-10-18,,,,,,,,,,,False,False,False,False,False,False
2017-10-25,,,,,,,,,,,False,False,False,False,False,False
2017-11-01,,,,,,,,,,,False,False,False,False,False,False
2017-11-08,,,,,,,,,,,False,False,False,False,False,False
2017-11-15,,,,,,,,,,,False,False,False,False,False,False
2017-11-22,,,,,,,,,,,False,False,False,False,False,False
2017-11-29,,,,,,,,,,,False,False,False,False,False,False
2017-12-06,,,,,,,,,,,False,False,False,False,False,False
2017-12-13,,,,,,,,,,,False,False,False,False,False,False
2017-12-20,,,,,,,,,,,False,False,False,False,False,False
2017-12-27,,,,,,,,,,,False,False,False,False,False,False
2018-01-03,,,,,,,,,,,False,False,False,False,False,False
2018-01-10,,,,,,,,,,,False,False,False,False,False,False
2018-01-17,,,,,,,,,,,False,False,False,False,False,False
2018-01-24,,,,,,,,,,,False,False,False,False,False,False
2018-01-31,,,,,,,,,,,False,False,False,False,False,False
2018-02-07,,,,,,,,,,,False,False,False,False,False,False
2018-02-14,42.91223036604375,592.1887790514038,,,,,,,,,True,False,True,False,False,False
2018-02-21,43.777065173224216,604.1234993904942,,,,,,,,11.934720339090404,False,False,True,False,False,False
2018-02-28,44.64189998040468,616.0582197295846,,,,,,,,11.934720339090404,False,False,True,False,False,False
2018-03-07,45.50673478758514,627.992940068675,,,,,,,,11.934720339090404,False,False,True,False,False,False
2018-03-14,46.3715695947656,639.9276604077654,,,,,,,,11.934720339090404,False,False,True,False,False,False
2018-03-21,,,,,,,,,,,False,False,False,False,False,False
2018-03-28,,,,,,,,,,,False,False,False,False,False,False
2018-04-04,,,,,,,,,,,False,False,False,False,False,False
2018-04-11,,,,,,,,,,,False,False,False,False,False,False
2018-04-18,,,,,,,,,,,False,False,False,False,False,False
2018-04-25,,,,,,,,,,,False,False,False,False,False,False
2018-05-02,,,27.445488596365074,357.6147164106369,,,,,,,True,True,False,False,False,False
2018-05-09,,,28.703503168176166,374.0066462813354,,,,,16.391929870698505,,False,True,False,False,False,False
2018-05-16,,,29.961517739987254,390.3985761520339,,,,,16.391929870698505,,False,True,False,False,False,False
2018-05-23,,,31.219532311798346,406.7905060227324,,,,,16.391929870698505,,False,True,False,False,False,False
2018-05-30,,,32.477546883609435,423.1824358934309,,,,,16.391929870698505,,False,True,False,False,False,False
2018-06-06,,,,,,,,,,,False,False,False,False,False,False
2018-06-13,,,,,,,,,,,False,False,False,False,False,False
2018-06-20,,,,,,,,,,,False,False,False,False,False,False
2018-06-27,,,,,,,,,,,False,False,False,False,False,False
2018-07-04,,,,,,,,,,,False,False,False,False,False,False
2018-07-11,,,,,,,,,,,False,False,False,False,False,False
2018-07-18,,,,,,,,,,,False,False,False,False,False,False
2018-07-25,,,,,,,,,,,False,False,False,False,False,False
2018-08-01,,,,,,,,,,,False,False,False,False,False,False
2018-08-08,,,,,,,,,,,False,False,False,False,False,False
2018-08-15,,,,,,,,,,,False,False,False,False,False,False
2018-08-22,,,,,,,,,,,False,False,False,False,False,False
2018-08-29,,,,,,,,,,,False,False,False,False,False,False
2018-09-05,,,,,,,,,,,False,False,False,False,False,False
2018-09-12,,,,,,,,,,,False,False,False,False,False,False
2018-09-19,,,,,,,,,,,False,False,False,False,False,False
2018-09-26,,,,,,,,,,,False,False,False,False,False,False
2018-10-03,,,,,,,,,,,False,False,False,False,False,False
2018-10-10,,,,,,,,,,,False,False,False,False,False,False
2018-10-17,,,,,,,,,,,False,False,False,False,False,False
2018-10-24,,,,,,,,,,,False,False,False,False,False,False
2018-10-31,,,,,,,,,,,False,False,False,False,False,False
2018-11-07,,,,,,,,,,,False,False,False,False,False,False
2018-11-14,,,,,,,,,,,False,False,False,False,False,False
2018-11-21,,,,,,,,,,,False,False,False,False,False,False
2018-11-28,,,,,,,,,,,False,False,False,False,False,False
2018-12-05,,,,,,,,,,,False,False,False,False,False,False
2018-12-12,,,,,,,,,,,False,False,False,False,False,False
2018-12-19,,,,,,,,,,,False,False,False,False,False,False
2018-12-26,,,,,,,,,,,False,False,False,False,False,False
2019-01-02,,,,,,,,,,,False,False,False,False,False,False
2019-01-09,,,,,,,,,,,False,False,False,False,False,False
2019-01-16,,,,,,,,,,,False,False,False,False,False,False
2019-01-23,,,,,,,,,,,False,False,False,False,False,False
2019-01-30,,,,,,,,,,,False,False,False,False,False,False
2019-02-06,,,,,,,,,,,False,False,False,False,False,False
2019-02-13,,,79.02408604061979,1029.6838411092758,,,,,,,True,True,False,False,False,False
2019-02-20,,,75.1046859842946,978.6140583753586,,,,,-51.069782733917236,,False,True,False,False,False,False
2019-02-27,,,71.1852859279694,927.5442756414413,,,,,-51.069782733917236,,False,True,False,False,False,False
2019-03-06,,,67.26588587164422,876.4744929075241,,,,,-51.069782733917236,,False,True,False,False,False,False
2019-03-13,,,63.34648581531903,825.4047101736069,,,,,-51.069782733917236,,False,True,False,False,False,False
2019-03-20,,,,,,,,,,,False,False,False,False,False,False
2019-03-27,,,,,,,,,,,False,False,False,False,False,False
2019-04-03,,,,,,,,,,,False,False,False,False,False,False
2019-04-10,,,,,,,,,,,False,False,False,False,False,False
2019-04-17,,,,,,,,,,,False,False,False,False,False,False
2019-04-24,96.53198841123248,1332.1414400750082,39.830085477367874,518.9860137701035,,,,,,,True,True,True,False,False,False
2019-05-01,94.91979089825253,1309.8931143958848,36.78607398148051,479.3225439786911,,,,,-39.66346979141235,-22.248325679123354,False,True,True,False,False,False
2019-05-08,93.30759338527258,1287.6447887167617,33.74206248559315,439.65907418727875,,,,,-39.66346979141235,-22.248325679123127,False,True,True,False,False,False
2019-05-15,91.69539587229264,1265.3964630376383,30.698050989705788,399.9956043958664,,,,,-39.66346979141235,-22.248325679123354,True,True,True,False,False,False
2019-05-22,90.08319835931269,1243.1481373585152,36.738900642438935,478.7078753709793,,,,,78.71227097511292,-22.248325679123127,False,True,True,False,False,False
2019-05-29,,,42.77975029517208,557.4201463460922,,,,,78.71227097511292,,False,True,False,False,False,False
2019-06-05,,,48.82059994790522,636.1324173212051,,,,,78.71227097511292,,False,True,False,False,False,False
2019-06-12,,,54.86144960063837,714.844688296318,,,,,78.71227097511292,,False,True,False,False,False,False
2019-06-19,,,,,,,,,,,False,False,False,False,False,False
2019-06-26,,,,,,,,,,,False,False,False,False,False,False
2019-07-03,,,,,,,,,,,False,False,False,False,False,False
2019-07-10,,,,,,,,,,,False,False,False,False,False,False
2019-07-17,,,,,,,,,,,False,False,False,False,False,False
2019-07-24,75.57342074249317,1042.9132062464057,91.10654751703726,1187.1183141469955,,,,,,,True,True,True,False,False,False
2019-07-31,74.56017389392782,1028.930399736204,86.28366452379062,1124.2761487449918,,,,,-62.84216540200373,-13.982806510201726,False,True,True,False,False,False
2019-08-07,73.54692704536248,1014.9475932260021,81.46078153054398,1061.433983342988,,,,,-62.84216540200373,-13.98280651020184,False,True,True,False,False,False
2019-08-14,72.53368019679714,1000.9647867158004,76.63789853729735,998.5918179409845,,,,,-62.842165402003616,-13.982806510201726,False,True,True,False,False,False
2019-08-21,71.52043334823179,986.9819802055987,71.81501554405071,935.7496525389807,,,,,-62.84216540200373,-13.982806510201726,False,True,True,False,False,False
2019-08-28,,,,,,,,,,,False,False,False,False,False,False
2019-09-04,,,,,,,,,,,False,False,False,False,False,False
2019-09-11,68.48069280253576,945.0335606749934,57.34636656431079,747.2231563329697,,5.033333333333455,3.3081666666666667,3.3081666666666667,,,True,True,True,False,True,True
2019-09-18,67.21493106421451,925.7003396263754,57.0056425994074,742.7835230702784,,5.033333333333455,3.3081666666666667,3.3081666666666667,-4.439633262691245,-19.333221048618043,False,True,True,False,True,True
2019-09-25,65.94916932589325,906.3671185777573,56.664918634504005,738.3438898075873,,5.033333333333455,3.3081666666666667,3.3081666666666667,-4.439633262691132,-19.333221048618043,False,True,True,False,True,True
2019-10-02,64.683407587572,887.0338975291392,56.324194669600615,733.904256544896,,,,,-4.439633262691245,-19.333221048618157,False,True,True,False,False,False
2019-10-09,63.417645849250746,867.7006764805211,55.98347070469722,729.4646232822048,,,,,-4.439633262691245,-19.333221048618043,False,True,True,False,False,False
2019-10-16,,,,,,,,,,,False,False,False,False,False,False
2019-10-23,,,,,,,,,,,False,False,False,False,False,False
2019-10-30,,,,,,,,,,,False,False,False,False,False,False
2019-11-06,,,,,,,,,,,False,False,False,False,False,False
2019-11-13,,,,,,,,,,,False,False,False,False,False,False
2019-11-20,,,,,,,,,,,False,False,False,False,False,False
2019-11-27,,,,,,,,,,,False,False,False,False,False,False
2019-12-04,,,,,,,,,,,False,False,False,False,False,False
2019-12-11,,,,,,,,,,,False,False,False,False,False,False
2019-12-18,,,,,,,,,,,False,False,False,False,False,False
2019-12-25,,,,,,,,,,,False,False,False,False,False,False
2020-01-01,,,,,,,,,,,False,False,False,False,False,False
2020-01-08,,,,,,,,,,,False,False,False,False,False,False
2020-01-15,,,,,,,,,,,False,False,False,False,False,False
2020-01-22,,,,,,,,,,,False,False,False,False,False,False
2020-01-29,,,,,,,,,,,False,False,False,False,False,False
2020-02-05,,,,,,,,,,,False,False,False,False,False,False
2020-02-12,,,,,,,,,,,False,False,False,False,False,False
2020-02-19,39.36817282114697,500.36947655677795,,,,,,,,,True,False,True,False,False,False
2020-02-26,44.05867002968897,559.9856960773468,,,,,,,,59.61621952056885,True,False,True,False,False,False
2020-03-04,44.87661769762525,570.3818109368169,,,,,,,,10.396114859470117,False,False,True,False,False,False
2020-03-11,45.69456536556152,580.777925796287,,,,,,,,10.396114859470117,False,False,True,False,False,False
2020-03-18,46.512513033497804,591.1740406557572,,,,,,,,10.396114859470117,False,False,True,False,False,False
2020-03-25,47.330460701434085,601.5701555152272,,,,,,,,10.396114859470003,False,False,True,False,False,False
2020-04-01,,,,,,,,,,,False,False,False,False,False,False
2020-04-08,,,,,,,,,,,False,False,False,False,False,False
2020-04-15,,,,,,,,,,,False,False,False,False,False,False
