scenario,exceedance_prob,flow_ML_day
baseline_all,0.99,0.0
baseline_all,0.95,0.0
baseline_all,0.9,21.58790399999996
baseline_all,0.75,168.26184
baseline_all,0.5,700.9848000000001
baseline_all,0.25,3020.75568
baseline_all,0.1,16636.404672000008
baseline_all,0.05,43475.164559999976
baseline_all,0.01,245396.28144959974
baseline_typical_only,0.99,0.0
baseline_typical_only,0.95,4.359744000000051
baseline_typical_only,0.9,47.845727999999994
baseline_typical_only,0.75,208.47888
baseline_typical_only,0.5,728.0798400000001
baseline_typical_only,0.25,3153.41424
baseline_typical_only,0.1,15840.225216000004
baseline_typical_only,0.05,35947.168847999965
baseline_typical_only,0.01,163848.8737728
TYPICAL,0.99,0.0
TYPICAL,0.95,2.6650080000000105
TYPICAL,0.9,44.3664
TYPICAL,0.75,195.33312
TYPICAL,0.5,696.5049600000001
TYPICAL,0.25,2909.6928000000003
TYPICAL,0.1,13743.397440000002
TYPICAL,0.05,31667.45673599995
TYPICAL,0.01,119725.46772479992
DROUGHT,0.99,0.0
DROUGHT,0.95,0.0
DROUGHT,0.9,0.003455999999999927
DROUGHT,0.75,25.531200000000002
DROUGHT,0.5,77.1984
DROUGHT,0.25,567.648
DROUGHT,0.1,1262.4318720000008
DROUGHT,0.05,2116.703232000003
DROUGHT,0.01,5574.5718912
EXTREME_RAIN,0.99,151.48062720000036
EXTREME_RAIN,0.95,578.8281600000005
EXTREME_RAIN,0.9,723.313152
EXTREME_RAIN,0.75,1154.088
EXTREME_RAIN,0.5,2731.82976
EXTREME_RAIN,0.25,33610.62816000001
EXTREME_RAIN,0.1,211582.57017600018
EXTREME_RAIN,0.05,308374.2714240001
EXTREME_RAIN,0.01,1007230.396953601
